,COMMODITY_DESC,SUB_COMMODITY_DESC,SALES_VALUE,QUANTITY
966,COOKIES/CONES,TRAY PACK/CHOC CHIP COOKIES,10735.009999999778,5037
3762,VEGETABLES - ALL OTHERS,CELERY,7051.009999999797,5009
1245,DRY MIX DESSERTS,PUDDING&GELATIN CUPS/CANS,5356.400000000008,4996
680,CHEESE,NATURAL CHEESE EXACT WT SLICES,9299.999999999953,4909
812,CITRUS,LEMONS,3912.4200000000037,4831
585,CANDY - PACKAGED,SEASONAL CANDY BAGS-CHOCOLATE,11441.079999999907,4806
1143,DOG FOODS,CAN DOGFD GOURMET/SUPER PREM (,3980.5899999999724,4784
964,COOKIES/CONES,SANDWICH COOKIES,10710.890000000214,4782
2120,ICE CREAM/MILK/SHERBTS,PREMIUM PINTS,6293.380000000048,4704
78,APPLES,APPLES GALA (BULK&BAG),8602.019999999913,4692
1639,FROZEN PIZZA,BURRITOS,2696.4299999999967,4663
175,BACON,PREMIUM,14178.08000000003,4634
3864,WATER - CARBONATED/FLVRD DRINK,NON-CARB FLVRD DRNKNG/MNRL WAT,9731.569999999792,4604
3784,VEGETABLES - SHELF STABLE,MUSHROOMS CND & GLASS,3875.5299999999984,4551
3321,SOFT DRINKS,SOFT DRINKS 6PK/4PK CAN CARB (,9302.709999999826,4548
703,CHICKEN,CHICKEN BREAST BONE IN,20489.790000000048,4546
1246,DRY MIX DESSERTS,PUDDINGS DRY,3407.2899999999904,4538
2825,PICKLE/RELISH/PKLD VEG,PICKLES,10243.76000000004,4535
2378,LUNCHMEAT,MISCELLANEOUS,7537.669999999862,4523
381,BEEF,SELECT BEEF,36297.25999999997,4512
1944,HEAT/SERVE,ENTREES,14760.149999999447,4483
1778,GRAPES,GRAPES WHITE,14638.029999999972,4427
2082,HOT CEREAL,INSTANT OATMEAL,11051.730000000132,4417
199,BAKED BREAD/BUNS/ROLLS,BAGELS,10347.02,4352
932,CONVENIENT BRKFST/WHLSM SNACKS,CEREAL BARS,11251.629999999981,4349
3739,VALUE ADDED FRUIT,INSTORE CUT FRUIT,13554.48999999998,4343
2567,MISC. DAIRY,REFRIGERATED PUDDING,10614.889999999928,4305
1253,DRY SAUCES/GRAVY,GRAVY CAN/GLASS,4879.469999999946,4281
247,BAKING MIXES,FROSTING,6230.920000000126,4273
